title,locality,price,object_status,image,url
Prodej bytu 3+kk 128 m²,Praha 1 - Nové Město,20424000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gW_y/MPCGNI.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2917414220
Prodej bytu 2+1 68 m²,"Ostrava - Mariánské Hory, okres Ostrava-město",2608000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/PXgg3M.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2991404364
Prodej bytu 1+1 46 m²,"Roztoky, okres Praha-západ",5548000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/iG9BET6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3736573260
Prodej bytu 4+kk 115 m²,"Přerov - Přerov I-Město, okres Přerov",0,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kc/glOBZfc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/525816908
Prodej bytu 3+kk 100 m² (Loft),"Ivančice, okres Brno-venkov",6070000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QR_MK/0muBcrU.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1767556428
Prodej bytu 3+kk 127 m² (Loft),"Ivančice, okres Brno-venkov",7828000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Js/8uFBcoJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1887479116
Prodej bytu 1+kk 53 m²,Praha 6 - Veleslavín,6361000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/ZoEB7i.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1421329740
Prodej bytu 2+kk 61 m²,Praha 8 - Libeň,6808000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KA/oiJSeF.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1767326796
Prodej bytu 3+1 91 m²,"Milevsko, okres Písek",3392000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LK/9hIElY.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2147165516
Prodej bytu 2+kk 57 m²,Praha 2 - Nové Město,13275000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gX_z/DnhFQK.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2484942156
Prodej bytu 3+1 124 m² (Mezonet),"Bohutín - Vysoká Pec, okres Příbram",6581000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/TgF4y8.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1559962956
Prodej bytu 3+kk 100 m²,Praha 8 - Libeň,14870000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KD/acQB53a.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4153591116
Prodej bytu 2+kk 78 m²,Praha 9 - Libeň,8373000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/v18FEZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2958198092
Prodej bytu 2+kk 47 m²,"Dobrovice, okres Mladá Boleslav",3517000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QL_KA/D2wWUA.mpo?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3721999692
Prodej bytu 3+kk 86 m²,"Teplice - Trnovany, okres Teplice",4062000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/7hI44d.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4093322572
Prodej bytu 5+kk 306 m²,Praha 7 - Holešovice,52195000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/qekCEKE.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1827415116
Prodej bytu 2+kk 57 m²,"Hradec Králové - Pražské Předměstí, okres Hradec Králové",4867000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LK/ipwEie.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/570107212
Prodej bytu 2+kk 43 m²,"Liberec - Liberec VI-Rochlice, okres Liberec",3290000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/GX54vR.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3623560524
Prodej bytu 2+1 61 m²,Praha 3 - Žižkov,7817000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gQ_z/9COErb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1748165964
Prodej bytu 3+1 70 m²,"Olomouc - Nové Sady, okres Olomouc",5662000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/c1o5LQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3672843596
Prodej bytu 2+1 62 m²,"Chrudim - Chrudim IV, okres Chrudim",4186000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/9YrXy8.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3303974220
Prodej bytu 2+1 61 m²,"Frýdek-Místek - Místek, okres Frýdek-Místek",2950000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/qs63Bu.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1539360076
